Name,Group,1-AMINOCYCLOPROPANECARBOXYLATE,3-DEHYDROSHIKIMATE,4-GUANIDINOBUTANOATE,5-METHYLCYTIDINE,ADENINE,ADENOSINE DIPHOSPHATE RIBOSE,ANSERINE,ARGININE,ASPARAGINE,ASPARTATE,BETA-NICOTINAMIDE ADENINE DINUCLEOTIDE,CARNOSINE,CDP-ETHANOLAMINE,CORTISOL,CREATINE,CYSTATHIONINE,CYTIDINE,CYTIDINE MONOPHOSPHATE,DEOXYADENOSINE MONOPHOSPHATE,DEOXYCARNITINE,DEOXYCYTIDINE,DEOXYGUANOSINE,GLUTAMINE,GLUTARYLCARNITINE,GLUTATHIONE REDUCED,GLYCEROL 3-PHOSPHATE,GLYCINE,GUANINE,HISTIDINE,HYPOTAURINE,HYPOXANTHINE,INOSINE-MONOPHOSPHATE,ISOLEUCINE,KYNURENINE,L-CARNITINE,LUMICHROME,LYSINE,METHIONINE,"N,N-DIMETHYLARGININE",N-ACETYLASPARAGINE,N-ACETYLNEURAMINATE,N-ALPHA-ACETYLLYSINE,NICOTINAMIDE,NICOTINAMIDE MONONUCLEOTIDE,NICOTINATE,O-PHOSPHOETHANOLAMINE,OPHTHALMATE,ORNITHINE,PHENYLALANINE,PHOSPHORYLCHOLINE,PIPECOLATE,PROLINE,PTERIN,PYRIDOXAL,PYRIDOXAL-PHOSPHATE,RIBOFLAVIN,SERINE,SHIKIMATE,SUBERATE,TAURINE,TRIGONELLINE,TRIMETHYLAMINE OXIDE,TRYPTOPHAN,TYROSINE,URACIL,URATE,UREIDOPROPIONATE,URIDINE MONOPHOSPHATE,UROCANATE,XANTHINE
CCG 001,Control Gill,127979737,41799.14228,802888.6964,839524.9481,2808235.716,615317.7165,79404909.84,23681859.1,21494784.84,34847724.05,255546.2211,37331809.93,1242772.27,549767.6347,700284122,11920655.34,37857208.38,11777950.22,613101.6977,434077905.8,476943.2933,1396504.558,143611548.1,467366.3212,918977.1444,11118343.58,28290650.52,50952210.79,61025139.29,20322362.39,329002544.6,12135752.2,50878135.66,473274.949,112598364.9,806279.8619,7787145.459,45252902.11,7615375.061,1125840.748,6498254.044,2157679.763,127968041.3,1129605.7,869138.204,52401396.09,19233998.65,540750.3612,173851210,453828132.4,3226526.784,219594218.1,42484.80194,1634660.257,850508.0012,6994469.823,21507091.81,1228755.996,796132.4146,379152070.8,3423524.078,8021136.629,590271.6828,43048405.59,29011690.06,320092.3893,457775.9761,1343705.836,3336939.912,10100575.56
CCG 002,Control Gill,121593153.5,110339.8711,1862175.784,632286.659,4590778.675,1370973.629,116465577.7,28205052.75,17840903.18,22906112.7,435156.5021,39030360.57,1954198.44,146496.8167,864333906.6,9073935.528,34433554.57,16012981.84,646059.1139,516679987.7,570764.2134,1793106.095,130696105.1,489059.1801,1974327.497,9980645.583,28845097,47432233.65,66622852.89,40646123.94,307107900.9,86067154.83,48915839.76,278371.8337,89293944.1,758234.4497,9557421.668,42149126.45,7448191.412,1061938.819,7648873.392,3809810.358,126328675.9,1392014.023,924931.707,87198250.75,13007877.06,841865.8903,153703073.7,487749261.3,2531999.673,94850051.25,93919.26409,1169632.086,1087623.296,3606979.794,16574077.53,7708954.941,776955.8813,432638458.8,3946328.89,11389556.62,162169.2998,33565341.93,25231874.66,93663.70201,354693.3111,1808119.13,1324042.208,8025628.9
CCG 003,Control Gill,114370616.3,44853.08849,2913436.632,627009.1778,5647385.169,4253593.887,103764107.6,28456302.62,33030540.94,26929650.2,1092972.215,33109154.24,1424022.008,650352.2364,946547261.3,24215990.97,28747682.24,15477966.94,609894.0111,564265428.2,504678.0931,1166929.897,126580507.3,467710.6959,1819142.055,7807194.964,30621355.29,48415099.99,74150837.66,17096160.99,212852134.9,179327222.2,50996695.94,338317.9926,112383816.4,515983.5608,10563775.2,34488727.35,7903490.34,994936.9694,7690669.859,3480002.748,116890292.4,1354703.621,1920748.363,66308562.55,13231014.7,408469.2808,143638158.5,542154379.6,7909660.587,204472222.9,50163.31357,702838.6633,1115457.215,3975686.06,19678358.81,1192759.121,974483.1332,393747310.4,4284841.78,28845901.84,938291.1695,23539764.16,20749475.56,1482828.072,447361.3921,2277446.503,1644097.18,5980567.997
CCG 004,Control Gill,5936268.94,26190.28455,33711.21744,44107.49772,685928.4653,56229.68508,335672.6423,636101.3891,437818.6573,661204.5237,49236.17423,15878.88395,31494.38018,65098.14593,7568342.83,405952.9833,94783.34753,48693.93799,48138.66084,1949241.621,34747.3082,26472.23872,2032471.178,16986.51682,41024.23356,92928.59094,3265399.197,309630.3673,1277853.939,243454.0871,1965572.733,43904.72109,415389.4667,29502.6191,827975.2448,41917.12582,67071.15847,138132.3035,26818.92188,30364.86827,51820.86402,32819.33133,4097686.809,30278.1879,1621775.947,1582888.759,44789.22194,29405.81134,1027791.336,4263463.022,311445.9335,2282295.116,49213.35844,85414.97379,54867.52328,98609.3954,476366.6483,1163704.137,789621.7125,11988667.18,292604.9246,114050.041,23010.84224,375961.553,1214692.555,74126.46106,32719.38664,37440.8373,80830.88358,50104.414
CCG 005,Control Gill,123981360.8,10623105.35,912018.3492,824020.3242,5321333.446,9524641.809,72500167.23,19941576.01,19356106.77,32930932.85,624135.4699,47045995.66,1621830.245,467360.4911,487503676.5,21390510.4,34194430.49,13758671.89,545337.3169,448910977.9,545836.814,1353380.481,137306638.8,632638.5705,14017428.97,7260311.636,21978616.66,40643685.42,52937627.36,35051824.85,248684725,207303028.5,65912222.75,292885.8436,155876653,514403.324,8714963.716,39948975.52,5796814.286,1332760.096,8311120.048,3114745.229,123815565.2,1352795.876,918319.7818,72020869.42,25708251.37,433334.3908,145524344.1,575503545.1,3386538.313,245667429.7,59192.95728,896671.6748,1120234.98,4086721.296,16372048.93,4397261.45,1121852.537,396062035.5,3271428.832,5445537.125,584423.3486,33568931.88,20785402.51,665843.4938,273835.7975,2166819.743,1161337.012,5318266.237
CCG 006,Control Gill,146355190.2,24472016.62,2077464.558,955774.7383,7145670.666,1675975.504,145565038.8,29996254.48,15118839.67,24887555.18,1001944.208,66516070.21,2886195.209,284785.1679,985514894.3,15017978.17,49719936.89,18986020.74,832646.4525,594539157.2,595767.5647,1597952.447,124724454.2,559844.0154,4622506.302,10197558.94,30104894.4,100141887.1,76502438.65,45638190.07,355582470.5,67933042.78,74630881.38,221210.9156,113303586.5,747589.2298,11391821.76,62050236.29,7887963.707,945307.7266,5454194.923,4079380.12,147175884.6,1688822.875,886056.1728,77711344.71,31497573.27,589254.4251,206958405.4,620335126,2920924.544,105292213.5,148979.8554,1798219.061,1466956.286,4846272.477,21259558.9,8584119.018,768981.357,464099961.2,4028965.351,18564270.09,234250.8071,53287875.5,31831879.13,69833.04299,1403418.24,1638836.404,1148464.038,13470329.78
CCL 001,Control Liver,317641932.4,10312484.88,2097025.749,819816.0009,79567684.22,58848862.32,2677407.656,20609592.56,17779819.54,28536333.94,5766944.716,2936083.954,6743623.504,80613.67717,180411934.9,20280978.56,63446154.49,43812114.52,2089789.25,69971349.51,484518.412,331690.0905,397447018.2,454486.163,2287258120,11474589.91,12994779.03,568436.7842,95834137.19,254977.2715,12432615.06,62890216.29,79474319.59,2198219.098,124009820.3,2199204.565,16157837.68,73935360.5,21275089.42,132846595.9,15540851.51,31892275.84,543807626.7,318880.518,3269424.442,103389139,440974242.6,1908781.047,122202043.5,362954133.3,3475922.98,295800691.3,639624.5394,1226588.355,7065222.558,389838.5174,22339394.46,3791282.836,793421.6423,317914319.5,2941079.683,617789.8471,713164.7019,91443501.63,3884420.738,15055608.91,239050.9272,13512127.6,1779749.147,11094483.59
CCL 002,Control Liver,317970112.8,28990424.71,2424660.983,397350.8822,60886581.3,71491651.62,4725557.085,20523113.93,33332634.22,42993215.33,5041824.841,1755774.395,5939067.468,1470289.251,157269098.7,29438003.78,46443472.84,30343990.35,1523416.975,67603893.44,170969.1531,275056.4357,420710501.4,317739.4403,1817563212,18514322.28,11674629.38,1363618.163,100259793.5,1126571.15,13593537.16,40568879.53,64298193.81,606224.8272,73851185.46,1502655.853,16349213.55,47200515.43,12562663.41,88869311.67,2346243.901,41778633.19,482509598,613168.495,4882924.643,89753818.79,158489885.8,1225380.412,104421761.1,334325452.7,4250630.233,1479881495,681206.8181,891218.2418,4444147.937,412786.0483,21010727.72,9708683.391,641087.4681,287299857.6,1644312.623,777021.2409,1047927.094,58577518.87,2141105.742,10345194.21,659345.9455,5273964.016,2814993.847,13329364.73
CCL 003,Control Liver,348858189.3,27991324.26,2016694.779,311749.5335,189965754,91452236.32,2529851.499,35932888.68,20657123.31,72868924.79,5090045.367,3477503.859,6319062.119,733660.9598,245394441.2,26143354.07,24916714.66,35496606.74,1613836.341,140935272.4,40172.51647,1202156.632,358643246.8,530821.1989,1880188674,22155093.02,14175885.37,7274651.543,74883549.96,695131.6778,32137301.96,24131310.81,96029397.43,1719734.179,82624826.63,1478005.041,28209413.02,69968016.51,17672290.72,133545610.4,16105376.58,61714772.6,492210396,617523.0981,2440440.624,104794926.3,221014199.7,1863860.082,195607043.9,433110968.7,3949659.578,209626380.9,578048.62,3971333.868,5603400.782,2469773.598,30635419.3,9615059.417,654549.3943,316732990.6,2711369.724,702478.7713,318755.0943,80429454.03,4489259.83,25658776.34,1253225.028,9030423.471,2746039.749,27077685.14
CCL 004,Control Liver,291183214.9,20296075.45,2311361.671,530760.6091,91972546.67,34589077.87,2052289.159,37676088.72,56918818.36,56512412.8,3044975.083,1897434.075,3313261.528,1223857.528,203731648.8,62908174.99,33305678.51,30487894.64,2042412.19,121918830.3,103808.1883,306477.2269,568969191.9,269131.1657,1497825423,8409994.314,10940499.69,6163479.985,94940776.28,5123503.232,40870935.47,70251316.42,115105867.8,3295660.625,108274189.7,1885376.787,28403447.6,78584699.67,18279419.19,97806523.25,3265518.143,30528762.01,450797387.4,391588.8577,5107532.427,48181923.5,76812725.51,1521374.549,165942610.1,373485474.2,5861826.611,829298735.1,490466.8253,1959212.938,5519138.648,1217275.775,26248097.85,7103895.799,763839.4588,299568665.8,3738238.734,652671.6276,409689.3155,118379633.6,9911373.206,3679447.223,525142.4746,27606244.36,2816470.705,34300181.57
CCL 005,Control Liver,205311537.1,21028094.02,2034955.045,468796.869,49191496.08,69543744.7,5652176.622,21791581.96,8021203.077,29948342.46,4248989.239,4327060.619,3657050.684,1771601.272,219952530.6,24880271.82,43505810.15,25731315.07,1779931.144,90209872.07,142752.1978,45523.22153,305093653.7,186724.5708,1776359851,20467734.32,10543006.28,4520396.289,98075394.14,1226475.272,29067385.54,51537727.94,83147153.23,2104288.308,94819815.74,1334867.453,17049959.01,66071159.2,14057948.75,121195725.7,10395012.82,27130078.2,452533963.2,636823.8879,5239343.286,74381944.13,162431788.3,1608332.879,148233709.9,353986622.2,3313037.911,257085073.3,487722.8637,516892.2723,4325861.168,304756.8806,26328608.34,7269409.702,861145.7947,360626668.2,2535288.617,874679.6933,752735.1627,83858549.41,5079129.233,12872757.14,415163.8102,6219808.862,2947095.798,25745232.06
CCL 006,Control Liver,325746380.8,17868434.88,2640781.813,431870.1772,69428426.12,58134976.91,4375490.505,22769258.99,35059080.91,41935070.53,1467328.86,1485376.537,4127063.821,161928.1844,212068172.6,30838509.79,42037223.29,36550385.28,1673628.846,95161399.88,154665.5476,442214.0608,403319435.8,345383.7299,1900891636,10254215.05,12232191.13,1497052.4,92243356.16,436872.5134,19849385.02,53844296.05,72519613.99,2114315.386,98006175.46,1533501.835,22401968.33,67561785.67,16545963.08,96316579.76,11544830.09,46065742.59,502857263.8,236218.5764,4507914.007,82631882.2,90242086.45,1458807.377,128707288,450818482.7,5152876.693,685113974.8,561047.7476,987121.6716,4995223.865,1261267.936,26217402.9,6555462.134,941943.5252,314406047.2,1981435.748,1208785.901,944146.785,67501160.43,5003914.614,2651626.716,367287.0207,10595104.16,2681970.426,18382371.72
CEG 001,Exposed Gill,136192936.3,43926.06929,2233406.768,588887.6809,3398742.429,984736.9541,58021817.66,28306436.22,18681551.76,31362324.23,365155.3776,34171496.51,1698491.263,862407.792,486582306.3,18515773.21,35689404.28,13107388.3,585677.535,380713237.3,518052.6991,1351000.755,125416250,306950.1363,1765624.513,9786684.262,24005155.58,88107256,45854027.58,36664724.65,325821650.4,43255564.39,49963687.51,293236.5368,87187072.48,750725.5814,10339875.15,49286384.06,9677176.249,7699.232466,7447061.997,3953800.029,129042369.9,1505383.587,808334.3609,72335631.86,18466319.55,379392.6245,165105842.8,556931064.5,3632597.097,230141692.2,101361.4537,1431363.364,1128542.295,2575593.574,15675039.05,1042565.092,738063.5693,408638468.4,4059528.562,6033609.875,421420.3668,34202885.53,28718000.6,76995.19449,244667.0207,1130313.776,627117.1652,9178392.139
CEG 002,Exposed Gill,138846245.6,34014855.53,1642283.925,817446.4481,5473459.453,3840332.985,154144040.8,20918255.48,25562611.28,30967422.5,1342599.748,45893091.78,1704284.076,802625.1582,1099929368,16970022.07,35575044.36,14882366.91,535165.2487,414014063.6,645884.5491,1683348.913,139051805.4,264593.9092,82155396.6,8999794.316,35546225.21,58448725.53,91935875.43,35298636.33,228300852.6,169120991.1,60106402.21,294813.5412,82279598.67,656220.9001,10199914.86,54332385.44,9622200.632,1286018.115,6513512.285,2884086.162,110351515.4,1726791.214,974554.4135,61979451.99,20955531.08,521518.8839,170743105.9,579409611.5,2829916.291,218388543.1,55409.78202,1313274.027,1597618.871,4448788.4,27157153.52,11559807.41,843768.4142,383007199.5,3845018.09,18243223.69,434937.4033,44796205.93,21630534.11,1325558.146,597993.3064,2918960.882,802076.1734,11277315.48
CEG 003,Exposed Gill,147074603.2,664598.7725,1171888.675,840646.1066,4512736.256,5539425.931,159407985,19041500.91,32013290.05,42164901.98,1379712.621,41236779.47,1611379.898,116178.6232,1196177820,16528591.3,28832000.86,12814365.98,623935.1987,455971869.4,639963.4883,1619486.602,148458684.6,293496.8608,2063177.97,7232231.319,38503068.86,88325740.36,85394161.65,22279377.82,276685585.1,162073389.9,65128015.61,200790.9315,77419057.23,694116.8126,7641726.501,46140909.57,7679511.267,1060574.82,6760255.091,2536794.26,109297783.8,1627420.623,1065012.092,52473833.76,25572717.12,525612.4896,132083210.1,488781249.5,4415909.152,284219346.3,183556.9261,1081302.246,1437133.718,3509733.146,35713185.96,1309959.3,782064.9332,360558580.1,3574238.694,19438817.94,754699.1722,37098942.69,18933253.43,291457.4369,374919.8542,2490898.632,647583.7601,6171739.414
CEG 004,Exposed Gill,124108011.5,5591690.173,2141770.556,880569.8623,3679591.706,4160130.145,93883563.48,21700505.84,13655154.92,32127456.69,779136.9053,49077131.49,1950927.833,416968.5257,741276903.5,23746587.92,39660275.54,13691456.52,638939.6715,415826158.6,484445.7348,1647240.729,101499763.9,436091.739,1939883.906,8558819.672,32936040.42,316881511,64692020.29,49712407.54,232611758.8,111050182.8,41492742.26,288795.6051,103602864.3,875444.9412,8182289.739,56890632.41,6119405.745,1183619.425,7021564.066,3232560.964,127917162.5,2737991.608,844811.6881,60909032.26,19319221.34,802799.5272,138464084.8,513169620.7,3171557.946,197925673.6,83623.54307,1257049.62,1271833.533,6937794.569,21538498.65,2680284.818,1038563.807,401461976.5,4434670.285,16050311.66,373036.5102,43468484.21,22578482.3,38208.10129,324592.6752,2339078.541,1119314.19,8309397.603
CEG 005,Exposed Gill,141365869,44867.76598,1218761.572,812117.81,4216140.291,1563116.95,69900375.56,29669642.12,36316122.96,25625721.91,421643.7181,43581624.01,2025553.451,953622.9095,514793787.3,18641551.72,44406678.12,14449629.9,851871.4743,481799198.6,786779.3211,1875149.897,147569619.8,546973.2778,1101341.55,8225514.645,27912671.37,66707718.57,60748151.54,33579211.46,341823747.5,94007939.64,54287314.13,356292.2527,105147207.1,1017379.571,11674086.34,58981374.27,11080578.1,1147273.028,4916684.772,3231624.858,143733423,1908657.839,824620.0589,74361411.08,24699298.13,943672.682,205462594,630555615.7,3645225.474,165637754.6,162029.5285,1445772.269,1366016.828,8112031.053,20384613.72,1087318.851,721719.7003,415097316,3687463.329,5252392.449,564470.4252,46146904.81,26905269.76,223268.1065,408229.7309,1194506.804,703570.8664,6494961.221
